regionNow	mcHistory	mcNow	species	usda_code	family	nonnative	exclude	excludeReason	nameChangeDate
1	1	0	Cycloloma atriplicifolium	CYAT	Amaranthaceae	0			
1	1	1	Cyperus bipartitus	CYBI6	Cyperaceae	0			
1	1	0	Cystopteris bulbifera	CYBU3	Dryopteridaceae	0			
1	1	0	Cynodon dactylon	CYDA	Poaceae	1			
1	1	0	Cyperus erythrorhizos	CYER2	Cyperaceae	0			
1	1	1	Cyperus esculentus	CYES	Cyperaceae	0			
1	1	1	Cynanchum laeve	CYLA	Apocynaceae	1			
1	0	0	Cyperus lupulinus	CYLU2	Cyperaceae	0			
1	0	1	Cyperus odoratus	CYOD	Cyperaceae	0			
1	1	0	Cynoglossum officinale	CYOF	Boraginaceae	1			
1	1	1	Cystopteris protrusa	CYPR4	Dryopteridaceae	0			
1	0	0	Cypripedium reginae	CYRE6	Orchidaceae	0			
1	1	0	Cyperus squarrosus	CYSQ	Cyperaceae	0			
1	0	1	Cyperus strigosus	CYST	Cyperaceae	0			
1	0	0	Cystopteris tennesseensis	CYTE3	Dryopteridaceae	0			
1	1	1	Daucus carota	DACA6	Apiaceae	1			
1	0	0	Dasiphora fruticosa	DAFR6	Rosaceae	0			
1	1	1	Dactylis glomerata	DAGL	Poaceae	1			
1	1	1	Dasistoma macrophylla	DAMA	Scrophulariaceae	0			
1	0	0	Dalea purpurea	DAPU5	Fabaceae	0			
1	1	1	Danthonia spicata	DASP2	Poaceae	0			
1	1	1	Datura stramonium	DAST	Solanaceae	1			
1	1	1	Deparia acrostichoides	DEAC4	Dryopteridaceae	0			
1	1	1	Desmodium canadense	DECA7	Fabaceae	0			
1	1	1	Desmodium canescens	DECA8	Fabaceae	0			
1	1	0	Deschampsia cespitosa	DECE	Poaceae	0			
1	0	1	Desmodium glabellum	DEGL4	Fabaceae	0			
1	0	1	Desmodium glutinosum	DEGL5	Fabaceae	0			
1	0	1	Desmanthus illinoensis	DEIL	Fabaceae	0			
1	1	0	Desmodium nudiflorum	DENU4	Fabaceae	0			
1	1	1	Desmodium paniculatum	DEPA6	Fabaceae	0			
1	1	0	Desmodium pauciflorum	DEPA7	Fabaceae	0			
1	0	1	Desmodium perplexum	DEPE80	Fabaceae	0			
1	0	1	Descurainia pinnata	DEPI	Brassicaceae	1			
1	1	1	Delphinium tricorne	DETR	Ranunculaceae	0			
1	1	0	Decodon verticillatus	DEVE	Lythraceae	0			
1	1	0	Dichanthelium acuminatum	DIAC2	Poaceae	0			
1	1	1	Diarrhena americana	DIAM	Poaceae	0			
1	0	1	Dianthus armeria	DIAR	Caryophyllaceae	1			
1	1	1	Dicentra canadensis	DICA	Papaveraceae	0			
1	1	1	Dichanthelium clandestinum	DICL	Poaceae	0			
1	0	0	Dichanthelium commutatum	DICO2	Poaceae	0			
1	0	0	Digitaria cognata	DICO6	Poaceae	0			
1	1	1	Dicentra cucullaria	DICU	Papaveraceae	0			
1	0	1	Dipsacus fullonum	DIFU2	Dipsacaceae	1			
1	1	0	Digitaria ischaemum	DIIS	Poaceae	1			
1	0	1	Dipsacus laciniatus	DILA4	Dipsacaceae	1			
1	0	0	Dichanthelium latifolium	DILA8	Poaceae	0			
1	0	0	Panicum leibergii	DILE2	Poaceae	0			
1	1	0	Dichanthelium oligosanthes	DIOL	Poaceae	0			
1	0	1	Dirca palustris	DIPA9	Thymelaeaceae	0			
1	1	1	Diplazium pycnocarpon	DIPY	Dryopteridaceae	0			
1	0	1	Dioscorea quaternata	DIQU	Ebenaceae	0			
1	1	1	Digitaria sanguinalis	DISA	Poaceae	1			
1	0	0	Diodia teres	DITE2	Rubiaceae	0			
1	0	1	Duchesnea indica	DIUN	Rosaceae	1			
1	0	1	Dioscorea villosa	DIVI4	Dioscoreaceae	0			
1	0	0	Diospyros virginiana	DIVI5	Dioscoreaceae	0			
1	1	1	Dodecatheon meadia	DOME	Primulaceae	0			
1	0	1	Doellingeria umbellata	DOUM2	Asteraceae	0			
1	0	0	Dryopteris carthusiana	DRCA11	Dryopteridaceae	0			
1	1	0	Dryopteris cristata	DRCR4	Dryopteridaceae	0			
1	0	1	Drosera intermedia	DRIN3	Droseraceae	0			
1	0	0	Dryopteris marginalis	DRMA4	Dryopteridaceae	0			
1	0	0	Draba verna	DRVE2	Brassicaceae	1			
1	1	1	Dulichium arundinaceum	DUAR3	Cyperaceae	0			
1	0	0	Dysphania ambrosioides	DYAM	Chenopodiaceae	1			
1	1	0	Chenopodium botrys	DYBO	Amaranthaceae	1	1	synonym	
1	1	0	Dysphania botrys	DYBO	Chenopodiaceae	1			
1	0	0	Dyssodia papposa	DYPA	Asteraceae	1			
1	1	0	Echinochloa crus-galli	ECCR	Poaceae	1			
1	1	1	Echinocystis lobata	ECLO	Cucurbitaceae	0			
1	0	0	Eclipta prostrata	ECPR	Asteraceae	0			
1	0	0	Echinacea purpurea	ECPU	Asteraceae	0			
1	1	0	Echium vulgare	ECVU	Boraginaceae	1			
1	1	1	Eleocharis acicularis	ELAC	Cyperaceae	0			
1	0	1	Elaeagnus angustifolia	ELAN	Elaeagnaceae	1			
1	1	0	Elymus canadensis	ELCA4	Poaceae	0			
1	1	0	Elodea canadensis	ELCA7	Hydrocharitaceae	0			
1	0	0	Eleocharis compressa	ELCO2	Cyperaceae	0			
1	1	0	Eleocharis erythropoda	ELER	Cyperaceae	0			
1	1	1	Elymus hystrix	ELHY	Poaceae	0			
1	1	0	Eleusine indica	ELIN3	Poaceae	1			
1	0	1	Elodea nuttallii	ELNU2	Hydrocharitaceae	0			
1	1	0	Ellisia nyctelea	ELNY	Boraginaceae	0			
1	0	0	Eleocharis obtusa	ELOB2	Cyperaceae	0			
1	1	1	Eleocharis palustris	ELPA3	Cyperaceae	0			
1	1	1	Elymus repens	ELRE4	Poaceae	1			
1	1	1	Elymus riparius	ELRI	Poaceae	0			
1	0	1	Eleocharis tenuis	ELTE	Cyperaceae	0			
1	0	1	Elaeagnus umbellata	ELUM	Elaeagnaceae	1			
1	1	1	Elymus villosus	ELVI	Poaceae	0			
1	1	1	Elymus virginicus	ELVI3	Poaceae	0			
1	1	1	Enemion biternatum	ENBI	Ranunculaceae	0			
1	1	1	Epilobium coloratum	EPCO	Onagraceae	0			
1	0	1	Epilobium strictum	EPST	Onagraceae	0			
1	1	1	Epifagus virginiana	EPVI2	Orobanchaceae	0			
1	1	0	Equisetum arvense	EQAR	Equisetaceae	0			
1	1	1	Equisetum hyemale	EQHY	Equisetaceae	0			
1	1	1	Equisetum laevigatum	EQLA	Equisetaceae	0			
1	1	1	Erythronium albidum	ERAL9	Liliaceae	0			
1	1	1	Erythronium americanum	ERAM5	Liliaceae	0			
1	1	1	Erigeron annuus	ERAN	Asteraceae	0			
1	1	1	Erigenia bulbosa	ERBU	Apiaceae	0			
