,seqOrSplice,spliceRule,spliceTaxa
Lysimachia_ciliata,seq,,
Lysimachia_hybrida,** SPLICE **,genus,
Lysimachia_lanceolata,** SPLICE **,genus,
Lysimachia_nummularia,seq,,
Lysimachia_quadriflora,** SPLICE **,genus,
Lysimachia_quadrifolia,seq,,
Lysimachia_thyrsiflora,seq,,
Lythrum_alatum,** SPLICE **,genus,
Lythrum_salicaria,seq,,
Maclura_pomifera,seq,,
Magnolia_acuminata,seq,,
Maianthemum_racemosum,seq,,
Maianthemum_stellatum,seq,,
Malus_coronaria,** SPLICE **,genus,
Malva_neglecta,seq,,
Matricaria_discoidea,** SPLICE **,genus,
Medeola_virginiana,seq,,
Medicago_lupulina,seq,,
Medicago_sativa,seq,,
Melilotus_officinalis,seq,,
Menispermum_canadense,seq,,
Mentha_arvensis,seq,,
Mentha_spicata,seq,,
Mentha_xpiperita,** SPLICE **,genus,
Mertensia_virginica,seq,,
Mimulus_alatus,** SPLICE **,genus,
Mimulus_ringens,seq,,
Mirabilis_nyctaginea,seq,,
Mitella_diphylla,seq,,
Mollugo_verticillata,seq,,
Monarda_clinopodia,seq,,
Monarda_fistulosa,seq,,
Monotropa_hypopithys,** SPLICE **,genus,
Monotropa_uniflora,seq,,
Morus_alba,seq,,
Morus_rubra,seq,,
Muhlenbergia_frondosa,** SPLICE **,genus,
Muhlenbergia_mexicana,seq,,
Muhlenbergia_schreberi,seq,,
Muhlenbergia_sobolifera,seq,,
Muhlenbergia_tenuiflora,seq,,
Muscari_botryoides,seq,,
Myosotis_scorpioides,seq,,
Narcissus_poeticus,seq,,
Narcissus_pseudonarcissus,seq,,
Nasturtium_officinale,seq,,
Nepeta_cataria,seq,,
Nicandra_physalodes,seq,,
Nuphar_advena,seq,,
Nuphar_lutea,seq,,
Nymphaea_odorata,seq,,
Nyssa_sylvatica,seq,,
Oenothera_biennis,seq,,
Oenothera_fruticosa,seq,,
Oenothera_laciniata,seq,,
Oenothera_nutans,** SPLICE **,genus,
Oenothera_pilosella,** SPLICE **,genus,
Oenothera_speciosa,seq,,
Onoclea_sensibilis,seq,,
Onosmodium_bejariense,** SPLICE **,genus,
Ophioglossum_vulgatum,seq,,
Orbexilum_onobrychis,** SPLICE **,mrca,Baptisia_alba|Vicia_villosa
Ornithogalum_umbellatum,seq,,
Osmorhiza_claytonii,seq,,
Osmorhiza_longistylis,seq,,
Osmunda_cinnamomea,** SPLICE **,genus,
Osmunda_regalis,seq,,
Ostrya_virginiana,seq,,
Oxalis_grandis,** SPLICE **,genus,
Oxalis_stricta,seq,,
Oxalis_violacea,seq,,
Oxypolis_rigidior,seq,,
Packera_aurea,seq,,
Packera_glabella,** SPLICE **,genus,
Packera_obovata,** SPLICE **,genus,
Panax_quinquefolius,seq,,
Panicum_capillare,seq,,
Panicum_dichotomiflorum,seq,,
Panicum_gattingeri,** SPLICE **,genus,
Panicum_leibergii,** SPLICE **,genus,
Panicum_philadelphicum,** SPLICE **,genus,
Panicum_rigidulum,** SPLICE **,genus,
Panicum_virgatum,seq,,
Parietaria_pensylvanica,seq,,
Parnassia_glauca,seq,,
Paronychia_canadensis,seq,,
Paronychia_fastigiata,seq,,
Parthenium_integrifolium,** SPLICE **,genus,
Parthenocissus_quinquefolia,seq,,
Pascopyrum_smithii,** SPLICE **,mrca,Hordeum_jubatum|Elymus_repens
Paspalum_laeve,** SPLICE **,genus,
Paspalum_setaceum,seq,,
Passiflora_lutea,seq,,
Pastinaca_sativa,seq,,
Pedicularis_canadensis,** SPLICE **,genus,
Pedicularis_lanceolata,seq,,
Pennisetum_glaucum,** SPLICE **,genus,
Penstemon_calycosus,** SPLICE **,genus,
Penstemon_deamii,** SPLICE **,genus,
Penstemon_digitalis,seq,,
Penstemon_hirsutus,seq,,
Penstemon_pallidus,seq,,
Penthorum_sedoides,seq,,
Perilla_frutescens,seq,,
