region	MC Hist	MC Now	Species	Family	Status	Growth form	Life form	Life Span	Clonality 	Spinescence	Leaf Periodicity 1=evergreen 2=deciduous 3=semi-evergreen	Dispersal mode	Pollination System	FOREST	WOODLAND	SCRUBLAND	DWARF SCRUB	NATURAL GRASSLAND	SEMI-NATURAL GRASSLAND	COASTAL DUNES	H2O FRESH	H2O SALINE	DESERT	RIPARIAN	ANTHROPOGNEIC	AGRICULTURAL	
1	1	0	Asclepias exaltata	Apocynaceae	0	1	4	3	3	0	2	2	1		1												1
1	0	0	Asclepias hirtella	Apocynaceae	0	1	3	3	1	0	2	2	1					1									1
1	1	1	Asclepias incarnata	Apocynaceae	0	1	3	3	1	0	2	2	1						1		1						2
1	0	0	Asclepias quadrifolia	Apocynaceae	0	1	3	3	2	0	2	2	1		1												1
1	0	0	Asclepias sullivantii	Apocynaceae	0	1	3	3	1	0	2	2	1					1									1
1	1	1	Asclepias syriaca	Apocynaceae	0	1	4	3	3	0	2	2	1						1						1		2
1	0	1	Asclepias tuberosa	Apocynaceae	0	1	4	3	3	0	2	2	1		1				1								2
1	1	1	Asclepias verticillata	Apocynaceae	0	1	3	3	1	0	2	2	1		1				1						1		3
1	1	1	Asimina triloba	Annonaceae	0	"4,5"	1	3	3	0	2	3	1	1	1												2
1	1	1	Asparagus officinalis	Asparagaceae	1	1	4	3	3	0	2	3	1						1			1			1		3
1	1	1	Asplenium platyneuron	Aspleniaceae	0	2	4	3	3	0	2	2	0		1	1											2
1	0	0	Asplenium rhizophyllum	Aspleniaceae	0	2	4	3	3	0	2	2	0		1	1											2
1	0	0	Athyrium filix-femina	Dryopteridaceae	0	2	4	3	3	0	2	2	0		1				1					1			3
1	1	0	Atriplex patula	Amaranthaceae	0	1	5	1	1	0	2	6	1						1	1		1			1		4
1	0	0	Atriplex prostrata	Amaranthaceae	1	1	5	1	1	0	2	6	1						1	1	1	1					4
1	0	0	Azolla caroliniana	Azollaceae	0	10	7	1	1	0	2	6	0								1						1
1	0	0	Baptisia alba	Fabaceae	0	1	4	3	3	0	2	1	1		1												1
1	0	1	Barbarea verna	Brassicaceae	1	1	3	"2,3"	1	0	2	1	1						1						1		2
1	1	1	Barbarea vulgaris	Brassicaceae	1	1	3	2	1	0	?	1	1						1		1				1		3
1	0	0	Bartonia paniculata	Gentianaceae	0	1	3	"1,2"	1	0	?	1	1								1						1
1	0	0	Belamcanda chinensis	Iridaceae	1	1	4	3	3	0	2	1	1												1		1
1	0	1	Berberis thunbergii	Berberidaceae	1	4	1	3	1	1	2	3	1		1	1											2
1	0	0	Betula nigra	Betulaceae	0	5	1	3	1	0	2	2	0		1									1			2
1	0	1	Betula papyrifera	Betulaceae	0	5	1	3	1	0	2	2	0	1	1												2
